code,year,color,id,name
CHE,1998,"rgb(7,185,62)",'756,Switzerland
CHL,1998,"rgb(35,39,181)",'152,Chile
CIV,1998,"rgb(22,91,142)",'384,C?te d'Ivoire
CMR,1998,"rgb(31,101,123)",'120,Cameroon
COL,1998,"rgb(6,35,214)",'170,Colombia
COM,1998,"rgb(1,227,27)",'174,The Comoros
CPV,1998,"rgb(19,108,129)",'132,Cape Verde
CRI,1998,"rgb(3,15,237)",'188,Costa Rica
CYP,1998,"rgb(22,99,133)",'196,Cyprus
CZE,1998,"rgb(6,231,18)",'203,Czech Republic
DNK,1998,"rgb(13,199,43)",'208,Denmark
DZA,1998,"rgb(15,59,181)",'012,Algeria
ECU,1998,"rgb(8,24,223)",'218,Ecuador
EGY,1998,"rgb(24,91,140)",'818,Egypt
ESP,1998,"rgb(18,176,61)",'724,Spain
EST,1998,"rgb(10,174,71)",'233,Estonia
ETH,1998,"rgb(42,141,73)",'231,Ethiopia
FIN,1998,"rgb(27,144,84)",'246,Finland
FRA,1998,"rgb(17,160,78)",'250,France
FRO,1998,"rgb(13,200,41)",'234,Faroe Islands
GAB,1998,"rgb(13,7,236)",'266,Gabon
GBR,1998,"rgb(10,118,127)",'826,Great Britain (United Kingdom; England)
GEO,1998,"rgb(4,131,120)",'268,Georgia
GHA,1998,"rgb(23,109,123)",'288,Ghana
GIN,1998,"rgb(43,46,166)",'324,Guinea
GMB,1998,"rgb(73,97,85)",'270,Gambia
GRC,1998,"rgb(17,184,54)",'300,Greece
GRD,1998,"rgb(4,10,241)",'308,Grenada
GRL,1998,"rgb(40,88,127)",'304,Greenland
GTM,1998,"rgb(1,20,234)",'320,Guatemala
GUY,1998,"rgb(9,3,243)",'328,Guyana
HKG,1998,"rgb(172,14,69)",'344,Hong Kong
HND,1998,"rgb(2,10,243)",'340,Honduras
HRV,1998,"rgb(6,215,34)",'191,Croatia
HUN,1998,"rgb(6,220,29)",'348,Hungary
IDN,1998,"rgb(41,56,158)",'360,Indonesia
IND,1998,"rgb(24,62,169)",'356,India
IRL,1998,"rgb(7,109,139)",'372,Ireland
IRN,1998,"rgb(66,183,6)",'364,Iran
ISL,1998,"rgb(9,128,118)",'352,Iceland
ISR,1998,"rgb(6,51,198)",'376,Israel
ITA,1998,"rgb(15,172,68)",'380,Italy
JAM,1998,"rgb(6,5,244)",'388,Jamaica
JOR,1998,"rgb(35,111,109)",'400,Jordan
JPN,1998,"rgb(53,28,174)",'392,Japan
KAZ,1998,"rgb(78,116,61)",'398,Kazakhstan
KEN,1998,"rgb(26,105,124)",'404,Kenya
KIR,1998,"rgb(114,6,135)",'296,Kiribati
KOR,1998,"rgb(65,28,162)",'410,South Korea
LBN,1998,"rgb(42,101,112)",'422,Lebanon
LCA,1998,"rgb(10,8,237)",'662,St. Lucia
LTU,1998,"rgb(2,219,34)",'440,Lithuania
LVA,1998,"rgb(4,220,31)",'428,Latvia
MAC,1998,"rgb(94,27,134)",'446,Macao
MAR,1998,"rgb(31,128,96)",'504,Morocco
MDA,1998,"rgb(2,175,78)",'498,Moldova
MDG,1998,"rgb(66,109,79)",'450,Madagascar
MDV,1998,"rgb(4,109,142)",'462,Maldives
MEX,1998,"rgb(2,7,246)",'484,Mexico
MKD,1998,"rgb(2,167,86)",'807,Republic of Macedonia (FYROM)
MLI,1998,"rgb(95,65,95)",'466,Mali
MLT,1998,"rgb(8,117,130)",'470,Malta
MNG,1998,"rgb(184,21,50)",'496,Mongolia
MUS,1998,"rgb(45,72,138)",'480,Mauritius
MWI,1998,"rgb(0,118,137)",'454,Malawi
MYS,1998,"rgb(27,32,195)",'458,Malaysia
NER,1998,"rgb(73,37,145)",'562,Niger
NGA,1998,"rgb(14,42,199)",'566,Nigeria
NIC,1998,"rgb(1,27,227)",'558,Nicaragua
NLD,1998,"rgb(11,185,58)",'528,Netherlands
NOR,1998,"rgb(17,154,84)",'578,Norway
NPL,1998,"rgb(51,101,103)",'524,Nepal
NZL,1998,"rgb(43,39,173)",'554,New Zealand
